samples,CAL,PHY,CHL,CLU,CRV,OXY,IRO,NIT,RAD,PH,PHO,PRO,SAL,SIL,TMAX,TMIN,TAV,TRA
ACNL01,0.00022,3.569228888,0.700340986,0.791999996,0.120824262,332.9484863,0.004408,1.603932023,32.7159996,8.175999641,0.364266008,0.00862,31.58003807,4.193987846,14.30812454,-0.833063006,5.610392094,17.3035717
ACNL02,0.00022,3.569228888,0.700340986,0.791999996,0.120824262,332.9484863,0.004408,1.603932023,32.7159996,8.175999641,0.364266008,0.00862,31.58003807,4.193987846,14.30812454,-0.833063006,5.610392094,17.3035717
BFME01,0.003165,5.165061951,0.997555971,0.676999986,0.049257405,294.6397705,0.002822,0.771079004,33.49200058,8.001999855,0.134129003,0.020352,31.14186096,8.660005569,15.25176525,2.550426006,9.061597824,14.80723572
BFME03,0.003165,5.165061951,0.997555971,0.676999986,0.049257405,294.6397705,0.002822,0.771079004,33.49200058,8.001999855,0.134129003,0.020352,31.14186096,8.660005569,15.25176525,2.550426006,9.061597824,14.80723572
BFME04,0.003165,5.165061951,0.997555971,0.676999986,0.049257405,294.6397705,0.002822,0.771079004,33.49200058,8.001999855,0.134129003,0.020352,31.14186096,8.660005569,15.25176525,2.550426006,9.061597824,14.80723572
BFME05,0.003165,5.165061951,0.997555971,0.676999986,0.049257405,294.6397705,0.002822,0.771079004,33.49200058,8.001999855,0.134129003,0.020352,31.14186096,8.660005569,15.25176525,2.550426006,9.061597824,14.80723572
BRMA01,0.002615,4.10699892,0.768058002,0.572000027,0.122129567,281.8773804,0.002028,0.465092003,32.59000015,8.090999603,0.186858997,0.015043,31.4803257,4.477550983,19.90999413,3.402493954,11.42976665,18.04000092
BRMA02,0.002615,4.10699892,0.768058002,0.572000027,0.122129567,281.8773804,0.002028,0.465092003,32.59000015,8.090999603,0.186858997,0.015043,31.4803257,4.477550983,19.90999413,3.402493954,11.42976665,18.04000092
BRMA03,0.002615,4.10699892,0.768058002,0.572000027,0.122129567,281.8773804,0.002028,0.465092003,32.59000015,8.090999603,0.186858997,0.015043,31.4803257,4.477550983,19.90999413,3.402493954,11.42976665,18.04000092
BRMA04,0.002615,4.10699892,0.768058002,0.572000027,0.122129567,281.8773804,0.002028,0.465092003,32.59000015,8.090999603,0.186858997,0.015043,31.4803257,4.477550983,19.90999413,3.402493954,11.42976665,18.04000092
BRMA05,0.002615,4.10699892,0.768058002,0.572000027,0.122129567,281.8773804,0.002028,0.465092003,32.59000015,8.090999603,0.186858997,0.015043,31.4803257,4.477550983,19.90999413,3.402493954,11.42976665,18.04000092
BRMA06,0.002615,4.10699892,0.768058002,0.572000027,0.122129567,281.8773804,0.002028,0.465092003,32.59000015,8.090999603,0.186858997,0.015043,31.4803257,4.477550983,19.90999413,3.402493954,11.42976665,18.04000092
BRMA07,0.002615,4.10699892,0.768058002,0.572000027,0.122129567,281.8773804,0.002028,0.465092003,32.59000015,8.090999603,0.186858997,0.015043,31.4803257,4.477550983,19.90999413,3.402493954,11.42976665,18.04000092
BRMA08,0.002615,4.10699892,0.768058002,0.572000027,0.122129567,281.8773804,0.002028,0.465092003,32.59000015,8.090999603,0.186858997,0.015043,31.4803257,4.477550983,19.90999413,3.402493954,11.42976665,18.04000092
BRMA09,0.002615,4.10699892,0.768058002,0.572000027,0.122129567,281.8773804,0.002028,0.465092003,32.59000015,8.090999603,0.186858997,0.015043,31.4803257,4.477550983,19.90999413,3.402493954,11.42976665,18.04000092
CCMA01,0.002206,2.229279995,0.393420011,0.600000024,0.130326286,276.4649963,0.00228,0.118230999,31.54299927,8.116999626,0.167564005,0.004882,31.75917816,4.515264034,20.20330811,3.922331095,11.63705826,18.5432415
CCMA03,0.002206,2.229279995,0.393420011,0.600000024,0.130326286,276.4649963,0.00228,0.118230999,31.54299927,8.116999626,0.167564005,0.004882,31.75917816,4.515264034,20.20330811,3.922331095,11.63705826,18.5432415
CCMA06,0.002206,2.229279995,0.393420011,0.600000024,0.130326286,276.4649963,0.00228,0.118230999,31.54299927,8.116999626,0.167564005,0.004882,31.75917816,4.515264034,20.20330811,3.922331095,11.63705826,18.5432415
CCMA07,0.002206,2.229279995,0.393420011,0.600000024,0.130326286,276.4649963,0.00228,0.118230999,31.54299927,8.116999626,0.167564005,0.004882,31.75917816,4.515264034,20.20330811,3.922331095,11.63705826,18.5432415
CCMA08,0.002206,2.229279995,0.393420011,0.600000024,0.130326286,276.4649963,0.00228,0.118230999,31.54299927,8.116999626,0.167564005,0.004882,31.75917816,4.515264034,20.20330811,3.922331095,11.63705826,18.5432415
CCMA09,0.002206,2.229279995,0.393420011,0.600000024,0.130326286,276.4649963,0.00228,0.118230999,31.54299927,8.116999626,0.167564005,0.004882,31.75917816,4.515264034,20.20330811,3.922331095,11.63705826,18.5432415
CCMA10,0.002206,2.229279995,0.393420011,0.600000024,0.130326286,276.4649963,0.00228,0.118230999,31.54299927,8.116999626,0.167564005,0.004882,31.75917816,4.515264034,20.20330811,3.922331095,11.63705826,18.5432415
CHSC01,0.014359,1.984393001,0.346372008,0.501999974,0.15387626,220.8226471,0.00366,0.948912024,37.44200134,8.286000252,0.001681,0.016609,35.75406265,7.599440098,28.30760574,16.61013222,22.43540192,13.82977104
CHSC02,0.014359,1.984393001,0.346372008,0.501999974,0.15387626,220.8226471,0.00366,0.948912024,37.44200134,8.286000252,0.001681,0.016609,35.75406265,7.599440098,28.30760574,16.61013222,22.43540192,13.82977104
CHSC03,0.014359,1.984393001,0.346372008,0.501999974,0.15387626,220.8226471,0.00366,0.948912024,37.44200134,8.286000252,0.001681,0.016609,35.75406265,7.599440098,28.30760574,16.61013222,22.43540192,13.82977104
CHSC04,0.014359,1.984393001,0.346372008,0.501999974,0.15387626,220.8226471,0.00366,0.948912024,37.44200134,8.286000252,0.001681,0.016609,35.75406265,7.599440098,28.30760574,16.61013222,22.43540192,13.82977104
DRNO01,0.004027,4.611378193,0.985884011,0.726000011,0.069184266,300.8403931,0.003752,1.731966019,31.88899994,8.305999756,0.076747,0.020644,28.1880703,20.10156441,18.18874359,1.31249404,9.7143116,20.96999931
DRNO02,0.004027,4.611378193,0.985884011,0.726000011,0.069184266,300.8403931,0.003752,1.731966019,31.88899994,8.305999756,0.076747,0.020644,28.1880703,20.10156441,18.18874359,1.31249404,9.7143116,20.96999931
DRNO03,0.004027,4.611378193,0.985884011,0.726000011,0.069184266,300.8403931,0.003752,1.731966019,31.88899994,8.305999756,0.076747,0.020644,28.1880703,20.10156441,18.18874359,1.31249404,9.7143116,20.96999931
EDUK01,0.002421,4.895431042,1.116539955,0.75,0.115731873,281.8834839,0.001667,1.526165962,29.19300079,8.211999893,0.141037002,0.021664999,33.61580276,4.19909811,14.20061684,5.748920918,9.994245529,10.28578377
EDUK02,0.002421,4.895431042,1.116539955,0.75,0.115731873,281.8834839,0.001667,1.526165962,29.19300079,8.211999893,0.141037002,0.021664999,33.61580276,4.19909811,14.20061684,5.748920918,9.994245529,10.28578377
